Species,exotic_status
Eastern Spinebill,Native
Sulphur-crested Cockatoo,Native
Red Wattlebird,Native
Crimson Rosella,Native
Pied Currawong,Native
Australian Magpie,Native
White-throated Treecreeper,Native
Yellow-faced Honeyeater,Native
Spotted Pardalote,Native
Brown Thornbill,Native
Gray Butcherbird,Native
Satin Bowerbird,Native
Rainbow Lorikeet,Native
Australian King-Parrot,Native
Gray Fantail,Native
New Holland Honeyeater,Native
Australian Raven,Native
Silver-eye,Native
Common Myna,Exotic
Eastern Yellow Robin,Native
Gray Shrikethrush,Native
Rufous Whistler,Native
White-naped Honeyeater,Native
Striated Thornbill,Native
Laughing Kookaburra,Native
Eastern Whipbird,Native
Eurasian Blackbird,Native
Fan-tailed Cuckoo,Native
White-browed Scrubwren,Native
Pacific Koel,Native
House Sparrow,Exotic
Lewin's Honeyeater,Native
Rock Pigeon,Exotic
Yellow-tailed Black-Cockatoo,Native
Superb Lyrebird,Native
Golden Whistler,Native
Little Wattlebird,Native
Black-faced Cuckooshrike,Native
Crested Pigeon,Native
Galah,Native
Superb Fairywren,Native
Welcome Swallow,Native
Magpie-lark,Native
Noisy Miner,Native
White-eared Honeyeater,Native
Scarlet Myzomela,Native
Masked Lapwing,Native
Mistletoebird,Native
Pilotbird,Native
Red-whiskered Bulbul,Exotic
Channel-billed Cuckoo,Native
Noisy Friarbird,Native
Gang-gang Cockatoo,Native
Tree Martin,Native
Variegated Fairywren,Native
Wonga Pigeon,Native
Leaden Flycatcher,Native
Sacred Kingfisher,Native
Little Corella,Native
Red-browed Treecreeper,Native
Shining Bronze-Cuckoo,Native
Brown-headed Honeyeater,Native
Brown Cuckoo-Dove,Native
Red-browed Firetail,Native
Brown Gerygone,Native
Common Cicadabird,Native
Maned Duck,Native
Scarlet Robin,Native
Crescent Honeyeater,Native
Crested Shrike-tit,Native
Olive-backed Oriole,Native
Striated Pardalote,Native
Wedge-tailed Eagle,Native
Australian Owlet-nightjar,Native
Black-faced Monarch,Native
European Starling,Exotic
Long-billed Corella,Native
White-throated Needletail,Native
Beautiful Firetail,Native
Brown Goshawk,Native
Buff-rumped Thornbill,Native
Collared Sparrowhawk,Native
Common Bronzewing,Native
Fuscous Honeyeater,Native
Horsfield's Bronze-Cuckoo,Native
Little Lorikeet,Native
Peregrine Falcon,Native
Red-capped Robin,Native
Rufous Fantail,Native
Spotted Quail-thrush,Native
Varied Sittella,Native
White-headed Pigeon,Native
Willie-wagtail,Native
Yellow Thornbill,Native
