Transect,Point,Point_ID,Species,Distance.m,Count,Flyover,Date,Observer,Month,Year,Start_time,End_time,Cloud,Wind,Temperature.C
Katoomba,A,Katoomba A,Rock Pigeon,50,5,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Rock Pigeon,10,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Welcome Swallow,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Australian Raven,80,1,f,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Common Myna,30,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Pied Currawong,50,1,f,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,A,Katoomba A,Rock Pigeon,10,1,f,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,B,Katoomba B,Crimson Rosella,10,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,B,Katoomba B,Crimson Rosella,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,B,Katoomba B,Crimson Rosella,90,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,B,Katoomba B,House Sparrow,20,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,B,Katoomba B,Pied Currawong,251,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Pied Currawong,30,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Pied Currawong,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Crimson Rosella,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Eastern Spinebill,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Red Wattlebird,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,C,Katoomba C,Gray Butcherbird,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,D,Katoomba D,Pied Currawong,80,3,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,D,Katoomba D,Common Myna,50,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,D,Katoomba D,Crimson Rosella,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,D,Katoomba D,Red Wattlebird,100,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,D,Katoomba D,Spotted Pardalote,100,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Sulphur-crested Cockatoo,251,1,f,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Pied Currawong,30,3,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Pied Currawong,100,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
